Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0001049999991664663 1.1e-05
GALEX:NUV 0.23119646641474512 0.00024449999909847975 1.6970564e-05
SDSS:g' 0.48199694202385923 0.0038999998942017555 7e-05
SDSS:r' 0.6246977662012919 0.008849999867379665 0.00028
SDSS:i' 0.7634912086792645 0.013899999670684338 0.0005
SDSS:g 0.48199694202385923 0.0012600000482052565 0.00011
SDSS:r 0.6246977662012919 0.002259999979287386 0.00022
SDSS:i 0.7634912086792646 0.005249999929219484 1e-05
2MASS:J 1.239016606050587 0.03602999933063984 0.0031776722
2MASS:H 1.649477072902339 0.04098000042140484 0.0066580777
2MASS:Ks 2.1637853338145083 0.03436363623900847 0.0051516984
WISE:W1 3.3500107051067167 0.029555556053916614 0.0017233689
WISE:W2 4.600019302768061 0.02027777810063627 0.0011357816
WISE:W3 11.559823320737253 0.09324999712407589 0.0033941127
WISE:W4 22.090668189521775 0.11533333361148834 0.009000001
IRAS:12 11.590213330240472 0.20100000500679016 0.026
IRAS:25 23.880234028994746 0.15299999713897705 0.029
IRAS:60 61.84986032885642 1.6299999952316284 0.18867962
IRAS:100 101.94941780588996 5.31499981880188 0.6105735
:=1.4GHz 214137.47 3.6216665705045066 0.10061809
"W1 (WISE)" 3.3533831991051453 0.034999999999999996 0.0006699798504432802
"W2 (WISE)" 4.60510688172043 0.023566666666666666 0.0004116758433525096
"W3 (WISE)" 11.574998378378377 0.10283333333333333 0.0015390380112264934
"W4 (WISE)" 22.0435630882353 0.121 0.0033859119894055134
"12 microns (IRAS)" 11.99169832 0.20566666666666666 0.054357428195233815
"25 microns (IRAS)" 24.982704833333333 0.15666666666666668 0.05784029737129643
"60 microns (IRAS)" 59.958491599999995 1.67 0.2793196018900213
"100 microns (IRAS)" 99.93081933333333 5.29 0.7749567729880164
