Filter Wave Flux F_er
SDSS:g' 0.48199694202385923 0.003930000122636557 5e-05
SDSS:r' 0.6246977662012919 0.004670000169426203 0.00015
SDSS:u 0.3519021246126397 0.0024400000305225453 3e-05
SDSS:g 0.48199694202385923 0.00496057136583009 3.579106e-05
SDSS:r 0.6246977662012919 0.0066277142281511 5.254522e-05
SDSS:i 0.7634912086792645 0.0010224999859929085 1.5620499e-05
SDSS:z 0.9017941824088558 0.00962240002118051 0.00017995555
2MASS:J 1.2390166060505867 0.006987916596699506 0.002190936
2MASS:H 1.6494770729023382 0.015045000092041764 0.0035702798
2MASS:Ks 2.163785333814508 0.048650000244379044 0.026093295
:=3.6um 3.599986286565157 0.11500000208616257 0.006
WISE:W1 3.350010705106716 0.12333333243926366 0.009055385
WISE:W2 4.600019302768061 0.19850000366568565 0.012449901
WISE:W3 11.559823320737253 0.4457999914884567 0.01811077
WISE:W4 22.09066818952177 1.3722999572753907 0.06020797
IRAS:12 11.59021333024047 0.5384999811649323 0.15550241
IRAS:25 23.880234028994742 1.5950000286102295 0.15811388
IRAS:60 61.8498603288564 2.180000066757202 0.22825424
IRAS:100 101.94941780588995 1.8949999809265137 0.24698177
:=1.4GHz 214137.47000000003 0.38325000554323196 0.015620499
