Filter Wave Flux F_er
SDSS:g' 0.48199694202385923 0.001610000035725534 9e-05
SDSS:r' 0.6246977662012919 0.003590000094845891 0.0001
SDSS:i' 0.7634912086792645 0.005849999841302633 0.00066
2MASS:J 1.239016606050587 0.00922583342374613 0.001785049
2MASS:H 1.6494770729023385 0.011826666382451853 0.0028268178
2MASS:Ks 2.163785333814508 0.013060000073164702 0.002420744
WISE:W1 3.3500107051067167 0.019233333360817697 0.0010816654
WISE:W2 4.600019302768061 0.026100000366568565 0.0013076698
WISE:W3 11.559823320737255 0.14387499913573265 0.005385165
WISE:W4 22.09066818952177 0.5564285644463131 0.02946184
:=1.4GHz 214137.47000000003 0.04114000052213669 0.0018761662
"W1 (WISE)" 3.3533831991051453 0.0201 0.0004160408633776254
"W2 (WISE)" 4.60510688172043 0.026466666666666666 0.0005014867894571102
"W3 (WISE)" 11.574998378378377 0.15366666666666665 0.0025054255127622536
"W4 (WISE)" 22.0435630882353 0.5466666666666666 0.013169073619659055
"3.6 microns (IRAC)" 3.5520433412322276 0.017166666666666667 0.002190238400266053
"4.5 microns (IRAC)" 4.494639550224888 0.0246 0.00272
"5.8 microns (IRAC)" 5.732169369024856 0.03523333333333333 0.0033501828502337004
"8.0 microns (IRAC)" 7.86856845144357 0.0989 0.00637
"12 microns (IRAS)" 11.99169832 0.185 0.0277
"25 microns (IRAS)" 24.982704833333333 0.729 0.0148
"60 microns (IRAS)" 59.958491599999995 1.07 0.0858
"24 microns (MIPS)" 23.60570535433071 0.562 0.00038525316351718645
1.4GHz 214137.47 0.0422 0.0014
