No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
434,70 microns (MIPS),3990.0,+/-33,milliJy,4200000000000.0,3.99,0.033,0.033,,,+/-3.30E-02,Jy,2010MNRAS.408.1982L,1 sigma,71.42 microns,Broad-band measurement,03 19 48.1 +41 30 42 (J2000),Flux in fixed aperture,"35"" radius aperture",From new raw data
435,88 microns (ISO),7.3,+/-1.0,Jy,3410000000000.0,7.3,1.0,1.0,,,+/-1.00E+00,Jy,2008ApJS..178..280B,uncertainty,88 microns,Broad-band measurement,03 19 48.16 +41 30 42.1 (J2000),Flux integrated from map,,From new raw data
436,[O III] 88.36 (PACS),7.91e-17,+/-2.10E-17,W/m^2^,3390000000000.0,7910000000.0,2100000000.0,2100000000.0,,,+/-2.10E+09,Jy-Hz,2016ApJS..226...19F,uncertainty,88.36 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from central 3x3 array,From new raw data
437,[O III] 88.36 (PACS),5.01e-17,+/-1.80E-17,W/m^2^,3390000000000.0,5010000000.0,1800000000.0,1800000000.0,,,+/-1.80E+09,Jy-Hz,2016ApJS..226...19F,uncertainty,88.36 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from central spaxel,From new raw data
438,[O III] 88.36 (PACS),6.4e-17,+/-3.11E-17,W/m^2^,3390000000000.0,6400000000.0,3110000000.0,3110000000.0,,,+/-3.11E+09,Jy-Hz,2016ApJS..226...19F,uncertainty,88.36 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from full 5x5 array,From new raw data
439,100 microns (IRAS),7.6,+/-0.90,Jy,3000000000000.0,7.6,0.9,0.9,,,+/-9.00E-01,Jy,2004AJ....127.3235S,1 sigma,100.0   microns,Broad-band measurement,03 16 28.7 +41 19 48 (B1950),Flux in fixed aperture,,From reprocessed raw data
440,100 microns (IRAS),7.2,+/-0.469,Jy,3000000000000.0,7.2,0.469,0.469,,,+/-4.69E-01,Jy,2003AJ....126.1607S,1 sigma,100   microns,Broad-band measurement,03 19 46.7 +41 30 37 (J2000),Total flux,"Size, Method, Flag codes: UT;see paper",From reprocessed raw data
441,100 microns (IRAS),8267.0,+/-15  %,milliJy,3000000000000.0,8.27,1.24,1.24,,,+/-1.24E+00,Jy,1988AJ.....95...26G,typical accuracy,100        microns,Broad-band measurement,,Integrated from scans,From pointed observations,From new raw data
442,100 microns (IRAS),7.5,+/-0.189,Jy,3000000000000.0,7.5,0.189,0.189,,,+/-1.89E-01,Jy,1994PrivC.U..J....K,1 sigma,100        microns,Broad-band measurement,031630. +411948 (B1950),From fitting to map,,From reprocessed raw data
443,100 microns (IRAS),9384.0,+/-48.0,milliJy,3000000000000.0,9.38,0.048,0.048,,,+/-4.80E-02,Jy,1988AJ.....95..307I,uncertainty,100       microns,Broad-band measurement,,Integrated from scans,,From new raw data; OBJ_NAME modified from published value
444,100 microns (IRAS),6.981,+/-8   %,Jy,3000000000000.0,6.98,0.559,0.559,,,+/-5.59E-01,Jy,1990IRASF.C...0000M,uncertainty,100       microns,Broad-band measurement,031628.1 +411947 (B1950),Flux in fixed aperture,IRAS quality flag = 2,From new raw data
445,100 microns (IRAS),8328.0,+/-64.0,milliJy,3000000000000.0,8.33,0.064,0.064,,,+/-6.40E-02,Jy,1988AJ.....95..307I,uncertainty,100       microns,Broad-band measurement,,Integrated from scans,,From new raw data; OBJ_NAME modified from published value
446,100 microns (PACS),7.49,+/-0.377,Jy,2930000000000.0,7.49,0.377,0.377,,,+/-3.77E-01,Jy,2017ApJS..229...25C,uncertainty,102.3 microns,Broad-band measurement,,Total flux,,From new raw data
447,[N II] 121.90 (PACS),1.075e-16,+/-2.04E-17,W/m^2^,2460000000000.0,10800000000.0,2040000000.0,2040000000.0,,,+/-2.04E+09,Jy-Hz,2016ApJS..226...19F,uncertainty,121.90 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from central 3x3 array,From new raw data
448,[N II] 121.90 (PACS),6.22e-17,+/-0.90E-17,W/m^2^,2460000000000.0,6220000000.0,900000000.0,900000000.0,,,+/-9.00E+08,Jy-Hz,2016ApJS..226...19F,uncertainty,121.90 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from central spaxel,From new raw data
449,[N II] 121.90 (PACS),1.071e-16,+/-2.31E-17,W/m^2^,2460000000000.0,10700000000.0,2310000000.0,2310000000.0,,,+/-2.31E+09,Jy-Hz,2016ApJS..226...19F,uncertainty,121.90 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from full 5x5 array,From new raw data
450,122 microns (ISO),6.4,+/-0.5,Jy,2460000000000.0,6.4,0.5,0.5,,,+/-5.00E-01,Jy,2008ApJS..178..280B,uncertainty,122 microns,Broad-band measurement,03 19 48.16 +41 30 42.1 (J2000),Flux integrated from map,,From new raw data
451,145 microns (ISO),7.5,+/-0.8,Jy,2070000000000.0,7.5,0.8,0.8,,,+/-8.00E-01,Jy,2008ApJS..178..280B,uncertainty,145 microns,Broad-band measurement,03 19 48.16 +41 30 42.1 (J2000),Flux integrated from map,,From new raw data
452,[O I] 145.52 (PACS),1.242e-16,+/-1.57E-17,W/m^2^,2060000000000.0,12400000000.0,1570000000.0,1570000000.0,,,+/-1.57E+09,Jy-Hz,2016ApJS..226...19F,uncertainty,145.52 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from central 3x3 array,From new raw data
453,[O I] 145.52 (PACS),9.07e-17,+/-0.89E-17,W/m^2^,2060000000000.0,9070000000.0,890000000.0,890000000.0,,,+/-8.90E+08,Jy-Hz,2016ApJS..226...19F,uncertainty,145.52 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from central spaxel,From new raw data
454,[O I] 145.52 (PACS),1.382e-16,+/-2.11E-17,W/m^2^,2060000000000.0,13800000000.0,2110000000.0,2110000000.0,,,+/-2.11E+09,Jy-Hz,2016ApJS..226...19F,uncertainty,145.52 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from full 5x5 array,From new raw data
455,160 microns (MIPS),4350.0,+/-870,milliJy,1920000000000.0,4.35,0.87,0.87,,,+/-8.70E-01,Jy,2010MNRAS.408.1982L,1 sigma,155.9 microns,Broad-band measurement,03 19 48.1 +41 30 42 (J2000),Flux in fixed aperture,"48"" radius aperture",From new raw data
456,158 microns (ISO),7.8,+/-0.9,Jy,1900000000000.0,7.8,0.9,0.9,,,+/-9.00E-01,Jy,2008ApJS..178..280B,uncertainty,158 microns,Broad-band measurement,03 19 48.16 +41 30 42.1 (J2000),Flux integrated from map,,From new raw data
457,[C II] 157.74 (PACS),6.06e-16,+/-1.04E-17,W/m^2^,1900000000000.0,60600000000.0,1040000000.0,1040000000.0,,,+/-1.04E+09,Jy-Hz,2016ApJS..226...19F,uncertainty,157.74 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from central spaxel,From new raw data
458,[C II] 157.74 (PACS),1.3682e-15,+/-1.75E-17,W/m^2^,1900000000000.0,137000000000.0,1750000000.0,1750000000.0,,,+/-1.75E+09,Jy-Hz,2016ApJS..226...19F,uncertainty,157.74 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from full 5x5 array,From new raw data
459,[C II] 157.74 (PACS),1.1585e-15,+/-2.13E-17,W/m^2^,1900000000000.0,116000000000.0,2130000000.0,2130000000.0,,,+/-2.13E+09,Jy-Hz,2016ApJS..226...19F,uncertainty,157.74 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from central 3x3 array,From new raw data
460,160 microns (PACS),5.691,+/-0.286,Jy,1810000000000.0,5.69,0.286,0.286,,,+/-2.86E-01,Jy,2017ApJS..229...25C,uncertainty,166 microns,Broad-band measurement,,Total flux,,From new raw data
461,170 microns (ISO),4.45,+/-,Jy,1760000000000.0,4.45,0.18,0.18,,,+/-1.80E-01,Jy,2004ApJS..151..237T,uncertainty,170   microns,Broad-band measurement,03 19 48.61 +41 30 38.1 (J2000),Flux integrated from map,,From reprocessed raw data
462,170 microns (ISO),5.47,+/-30  %,Jy,1760000000000.0,5.47,1.64,1.64,,,+/-1.64E+00,Jy,2004A&A...422...39S,uncertainty,170      microns,Broad-band measurement,03 19 48.53 +41 30 53.0 (J2000),Integrated from scans,,Averaged from previously published data
463,170 microns (ISO),4.5,+/-0.6,Jy,1760000000000.0,4.5,0.6,0.6,,,+/-6.00E-01,Jy,2008ApJS..178..280B,uncertainty,170 microns,Broad-band measurement,03 19 48.16 +41 30 42.1 (J2000),Flux integrated from map,,From new raw data
464,200 microns (ISO),2.92,+/-,Jy,1500000000000.0,2.92,0.14,0.14,,,+/-1.40E-01,Jy,2004ApJS..151..237T,uncertainty,200   microns,Broad-band measurement,03 19 48.61 +41 30 38.1 (J2000),Flux integrated from map,,From reprocessed raw data
465,250 microns (SPIRE),3.506,+/-0.217,Jy,1200000000000.0,3.51,0.217,0.217,,,+/-2.17E-01,Jy,2017ApJS..229...25C,uncertainty,250 microns,Broad-band measurement,,Total flux,,From new raw data
466,350 microns (SPIRE),2.851,+/-0.176,Jy,857000000000.0,2.85,0.176,0.176,,,+/-1.76E-01,Jy,2017ApJS..229...25C,uncertainty,350 microns,Broad-band measurement,,Total flux,,From new raw data
467,500 microns (SPIRE),2.739,+/-0.168,Jy,600000000000.0,2.74,0.168,0.168,,,+/-1.68E-01,Jy,2017ApJS..229...25C,uncertainty,500 microns,Broad-band measurement,,Total flux,,From new raw data
468,850 microns (JCMT),2427.5,,milliJy,353000000000.0,2.43,,,,,,Jy,2010MNRAS.401.1240J,no uncertainty reported,850 microns,Broad-band measurement,03 19 48.2 +41 30 42 (J2000),Flux integrated from map,Date obs. 2004-12-16,From new raw data
469,850 microns (JCMT),1095.5,,milliJy,353000000000.0,1.1,,,,,,Jy,2010MNRAS.401.1240J,no uncertainty reported,850 microns,Broad-band measurement,03 19 48.2 +41 30 42 (J2000),Flux integrated from map,Date obs. 1997-08-16,From new raw data
470,1100 microns,19.0,+/-6,Jy,273000000000.0,19.0,6.0,6.0,,,+/-6.00E+00,Jy,1977ApJ...216..698H,estimated error,1100      microns,Broad-band measurement,,Flux in fixed aperture,Beam diameter 180 arcsec,From new raw data
471,1.3 mm (PdBI),4.8,,Jy,230000000000.0,4.8,,,,,,Jy,2010A&A...515A..40T,no uncertainty reported,1.3 mm,Broad-band measurement,,Flux integrated from map,,From new raw data
472,229 GHz (IRAM),6.19,+/-0.31,Jy,229000000000.0,6.19,0.31,0.31,,,+/-3.10E-01,Jy,2014A&A...566A..59A,uncertainty,229 GHz,Broad-band measurement,03 19 48.160 +41 30 42.11 (J2000),Total flux,,From new raw data
473,226 GHz (NRAO),27.2,+/-0.8,Jy,226000000000.0,27.2,0.8,0.8,,,+/-8.00E-01,Jy,1983ApJ...268...68L,1 sigma,226   GHz,Broad-band measurement,,Flux integrated from map,,From new raw data
474,2 mm (PdBI),6.3,,Jy,150000000000.0,6.3,,,,,,Jy,2010A&A...515A..40T,no uncertainty reported,2 mm,Broad-band measurement,,Flux integrated from map,,From new raw data
475,3 mm (VLBI),,<1.08,Jy,100000000000.0,,,,1.08,,<1.08E+00,Jy,1998AJ....116....8L,no uncertainty reported,3   mm,Broad-band measurement,,Total flux,,From new raw data
476,3 mm (PdBI),7.7,,Jy,99900000000.0,7.7,,,,,,Jy,2010A&A...515A..40T,no uncertainty reported,3 mm,Broad-band measurement,,Flux integrated from map,,From new raw data
477,W (WMAP),3.9,+/-0.4,Jy,94000000000.0,3.9,0.4,0.4,,,+/-4.00E-01,Jy,2009ApJS..180..283W,uncertainty,94 GHz,Broad-band measurement,03 19 45 +41 31 00 (J2000),Flux integrated from map,,From new raw data
478,94 GHz (WMAP),4.0,+/-0.4,Jy,94000000000.0,4.0,0.4,0.4,,,+/-4.00E-01,Jy,2009ApJ...694..222C,1 sigma,94 GHz,Broad-band measurement,03 19 49 +41 31 00 (J2000),Flux integrated from map,,From new raw data
479,94 GHz (WMAP),4.2,+/-0.40,Jy,94000000000.0,4.2,0.4,0.4,,,+/-4.00E-01,Jy,2011ApJS..192...15G,uncertainty,94 GHz,Broad-band measurement,03 19 46 +41 31 (J2000),Flux integrated from map,,From new raw data
480,90000 MHz,30.5,+/-3.00,Jy,90000000000.0,30.5,3.0,3.0,,,+/-3.00E+00,Jy,1978AJ.....83..685O,uncertainty,90000   MHz,Broad-band measurement,031629.57 +411951.9 (B1950),Not reported in paper,From Kuhr catalog (1981A&AS...45..367K),Transformed from previously published data
481,90000 MHz,31.8,+/-3.19,Jy,90000000000.0,31.8,3.19,3.19,,,+/-3.19E+00,Jy,1980AJ.....85..351O,uncertainty,90000   MHz,Broad-band measurement,031629.57 +411951.9 (B1950),Not reported in paper,From Kuhr catalog (1981A&AS...45..367K),Transformed from previously published data
482,86 GHz (IRAM),12.84,+/-0.64,Jy,86200000000.0,12.8,0.64,0.64,,,+/-6.40E-01,Jy,2014A&A...566A..59A,uncertainty,86.2 GHz,Broad-band measurement,03 19 48.160 +41 30 42.11 (J2000),Total flux,,From new raw data
483,86 GHz (IRAM),5.95,+/-0.30,Jy,86000000000.0,5.95,0.3,0.3,,,+/-3.00E-01,Jy,2010ApJS..189....1A,uncertainty,86 GHz,Broad-band measurement,03 19 48.1540 +41 30 42.160 (J2000),Flux integrated from map,,From new raw data
484,86 GHz (VLBI),4.71,,Jy,86000000000.0,4.71,,,,,,Jy,2008AJ....136..159L,no uncertainty reported,86 GHz,Broad-band measurement,03 19 48.16010 +41 30 42.1030 (J2000),Total flux,Mean value from multiple epochs,From new raw data
485,77 GHz (MRT),54.9,+/-2.3,Jy,77000000000.0,54.9,2.3,2.3,,,+/-2.30E+00,Jy,1987A&AS...71..125T,1 sigma,77 GHz,Broad-band measurement,,Flux integrated from map,,From new raw data
486,61 GHz (WMAP),4.9,+/-0.4,Jy,61000000000.0,4.9,0.4,0.4,,,+/-4.00E-01,Jy,2008ApJ...681..747C,uncertainty,61 GHz,Broad-band measurement,03 19 52 +41 30 35 (J2000),Flux integrated from map,,From reprocessed raw data
487,61 GHz (WMAP),4.7,+/-0.4,Jy,61000000000.0,4.7,0.4,0.4,,,+/-4.00E-01,Jy,2003ApJS..148...97B,uncertainty,61   GHz,Broad-band measurement,031944.7 +413124 (J2000),Flux integrated from map,,From new raw data
488,V (WMAP),5.6,+/-0.20,Jy,61000000000.0,5.6,0.2,0.2,,,+/-2.00E-01,Jy,2009ApJS..180..283W,uncertainty,61 GHz,Broad-band measurement,03 19 45 +41 31 00 (J2000),Flux integrated from map,,From new raw data
489,61 GHz (WMAP),5450.0,+/-279,milliJy,61000000000.0,5.45,0.279,0.279,,,+/-2.79E-01,Jy,2009MNRAS.392..733M,uncertainty,61 GHz,Broad-band measurement,049.9352 +41.5292 (J2000),Flux integrated from map,,From new raw data
490,61 GHz (WMAP),5.5,+/-0.2,Jy,61000000000.0,5.5,0.2,0.2,,,+/-2.00E-01,Jy,2009ApJ...694..222C,1 sigma,61 GHz,Broad-band measurement,03 19 49 +41 31 00 (J2000),Flux integrated from map,,From new raw data
491,61 GHz (WMAP),6.2,+/-0.20,Jy,61000000000.0,6.2,0.2,0.2,,,+/-2.00E-01,Jy,2011ApJS..192...15G,uncertainty,61 GHz,Broad-band measurement,03 19 46 +41 31 (J2000),Flux integrated from map,,From new raw data
492,43 GHz (KVN),14.87,+/-1.75,Jy,42400000000.0,14.9,1.75,1.75,,,+/-1.75E+00,Jy,2017ApJS..228...22L,1 sigma,42.4 GHz,Broad-band measurement,03 19 48.14 +41 30 42.12 (J2000),Flux integrated from map,Obs. code = KVNCS1.0.1,From new raw data
493,43 GHz (KVN),15.73,+/-2.34,Jy,42400000000.0,15.7,2.34,2.34,,,+/-2.34E+00,Jy,2017ApJS..228...22L,1 sigma,42.4 GHz,Broad-band measurement,03 19 48.14 +41 30 42.12 (J2000),Flux integrated from map,Obs. code = KVNCS1.3.2,From new raw data
494,Q (WMAP),7.5,+/-0.10,Jy,41000000000.0,7.5,0.1,0.1,,,+/-1.00E-01,Jy,2009ApJS..180..283W,uncertainty,41 GHz,Broad-band measurement,03 19 45 +41 31 00 (J2000),Flux integrated from map,,From new raw data
495,41 GHz (WMAP),7870.0,+/-237,milliJy,41000000000.0,7.87,0.237,0.237,,,+/-2.37E-01,Jy,2009MNRAS.392..733M,uncertainty,41 GHz,Broad-band measurement,049.9352 +41.5292 (J2000),Flux integrated from map,,From new raw data
496,41 GHz (WMAP),7.3,+/-0.2,Jy,41000000000.0,7.3,0.2,0.2,,,+/-2.00E-01,Jy,2009ApJ...694..222C,1 sigma,41 GHz,Broad-band measurement,03 19 49 +41 31 00 (J2000),Flux integrated from map,,From new raw data
497,41 GHz (WMAP),6.9,+/-0.3,Jy,41000000000.0,6.9,0.3,0.3,,,+/-3.00E-01,Jy,2003ApJS..148...97B,uncertainty,41   GHz,Broad-band measurement,031944.7 +413124 (J2000),Flux integrated from map,,From new raw data
498,41 GHz (WMAP),7000.0,,milliJy,41000000000.0,7.0,,,,,,Jy,2009A&A...508..107G,no uncertainty reported,41 GHz,Broad-band measurement,03 19 48.1 +41 30 42.0 (J2000),Flux integrated from map,,From new raw data
499,41 GHz (WMAP),8.0,+/-0.10,Jy,41000000000.0,8.0,0.1,0.1,,,+/-1.00E-01,Jy,2011ApJS..192...15G,uncertainty,41 GHz,Broad-band measurement,03 19 46 +41 31 (J2000),Flux integrated from map,,From new raw data
500,37 GHz (MRO),14.28,,Jy,37000000000.0,14.3,,,,,,Jy,2011A&A...535A..69N,no uncertainty reported,37 GHz,Broad-band measurement,049.94 +41.51 (J2000),Flux integrated from map,,From new raw data
501,37 GHz,40.15,+/-0.65,Jy,36800000000.0,40.2,0.65,0.65,,,+/-6.50E-01,Jy,1992AJ....104.1009W,uncertainty,37      GHz,Broad-band measurement,,Flux in fixed aperture,,From new raw data
502,37 GHz,46.09,+/-0.89,Jy,36800000000.0,46.1,0.89,0.89,,,+/-8.90E-01,Jy,1992AJ....104.1009W,uncertainty,37      GHz,Broad-band measurement,,Flux in fixed aperture,,From new raw data
503,37 GHz (MRO),14.01,,Jy,36800000000.0,14.0,,,,,,Jy,2011A&A...536A..15P,no uncertainty reported,36.8 GHz,Broad-band measurement,03 19 48.16 +41 30 42.10 (J2000),Flux integrated from map,,From new raw data
504,33 GHz (VSA),11.51,,Jy,33000000000.0,11.5,,,,,,Jy,2009MNRAS.400..984D,no uncertainty reported,33 GHz,Broad-band measurement,03 19 47.1 +41 30 42 (J2000),Flux integrated from map,,From new raw data
505,Ka (WMAP),8.9,+/-0.09,Jy,33000000000.0,8.9,0.09,0.09,,,+/-9.00E-02,Jy,2009ApJS..180..283W,uncertainty,33 GHz,Broad-band measurement,03 19 45 +41 31 00 (J2000),Flux integrated from map,,From new raw data
506,33 GHz (WMAP),8.7,+/-0.2,Jy,33000000000.0,8.7,0.2,0.2,,,+/-2.00E-01,Jy,2003ApJS..148...97B,uncertainty,33   GHz,Broad-band measurement,031944.7 +413124 (J2000),Flux integrated from map,,From new raw data
507,33 GHz (WMAP),9.6,+/-0.08,Jy,33000000000.0,9.6,0.08,0.08,,,+/-8.00E-02,Jy,2011ApJS..192...15G,uncertainty,33 GHz,Broad-band measurement,03 19 46 +41 31 (J2000),Flux integrated from map,,From new raw data
508,33 GHz (WMAP),9281.0,+/-277,milliJy,33000000000.0,9.28,0.277,0.277,,,+/-2.77E-01,Jy,2009MNRAS.392..733M,uncertainty,33 GHz,Broad-band measurement,049.9352 +41.5292 (J2000),Flux integrated from map,,From new raw data
509,31400 MHz,40.99,+/-.09,Jy,31400000000.0,41.0,0.09,0.09,,,+/-9.00E-02,Jy,1978AJ.....83..475W,uncertainty,31400   MHz,Broad-band measurement,031629.57 +411951.9 (B1950),Not reported in paper,From Kuhr catalog (1981A&AS...45..367K),Transformed from previously published data
510,31400 MHz,38.0,+/-1.91,Jy,31400000000.0,38.0,1.91,1.91,,,+/-1.91E+00,Jy,1980AJ.....85..351O,uncertainty,31400   MHz,Broad-band measurement,031629.57 +411951.9 (B1950),Not reported in paper,From Kuhr catalog (1981A&AS...45..367K),Transformed from previously published data
511,30 GHz (Torun),10.803,+/-0.507,Jy,30000000000.0,10.8,0.507,0.507,,,+/-5.07E-01,Jy,2007A&A...474.1093L,uncertainty,30 GHz,Broad-band measurement,03 19 48.2 +41 30 42 (J2000),Flux integrated from map,,From new raw data
512,K (WMAP),11.3,+/-0.06,Jy,23000000000.0,11.3,0.06,0.06,,,+/-6.00E-02,Jy,2009ApJS..180..283W,uncertainty,23 GHz,Broad-band measurement,03 19 45 +41 31 00 (J2000),Flux integrated from map,,From new raw data
513,23 GHz (WMAP),12.2,+/-0.05,Jy,23000000000.0,12.2,0.05,0.05,,,+/-5.00E-02,Jy,2011ApJS..192...15G,uncertainty,23 GHz,Broad-band measurement,03 19 46 +41 31 (J2000),Flux integrated from map,,From new raw data
514,23 GHz (WMAP),11.1,+/-0.1,Jy,23000000000.0,11.1,0.1,0.1,,,+/-1.00E-01,Jy,2003ApJS..148...97B,uncertainty,23   GHz,Broad-band measurement,031944.7 +413124 (J2000),Flux integrated from map,,From new raw data
515,22 GHz (VLBI),6.0,,Jy,22200000000.0,6.0,,,,,,Jy,2009MNRAS.396..984G,no uncertainty reported,22.2 GHz,Broad-band measurement,,Flux integrated from map,Core flux,Averaged from previously published data
516,22 GHz,37.37,+/-0.90,Jy,22200000000.0,37.4,0.9,0.9,,,+/-9.00E-01,Jy,1992AJ....104.1009W,uncertainty,22      GHz,Broad-band measurement,,Flux in fixed aperture,,From new raw data
517,22 GHz,39.26,+/-0.91,Jy,22200000000.0,39.3,0.91,0.91,,,+/-9.10E-01,Jy,1992AJ....104.1009W,uncertainty,22      GHz,Broad-band measurement,,Flux in fixed aperture,,From new raw data
518,22185 MHz,43.43,+/-6.52,Jy,22200000000.0,43.4,6.52,6.52,,,+/-6.52E+00,Jy,1978AJ.....83.1009O,uncertainty,22185   MHz,Broad-band measurement,031629.57 +411951.9 (B1950),Not reported in paper,From Kuhr catalog (1981A&AS...45..367K),Transformed from previously published data
519,22 GHz (KVN),19.62,+/-0.94,Jy,21700000000.0,19.6,0.94,0.94,,,+/-9.40E-01,Jy,2017ApJS..228...22L,1 sigma,21.7 GHz,Broad-band measurement,03 19 48.14 +41 30 42.12 (J2000),Flux integrated from map,Obs. code = KVNCS1.0.1,From new raw data
520,22 GHz (KVN),21.94,+/-0.94,Jy,21700000000.0,21.9,0.94,0.94,,,+/-9.40E-01,Jy,2017ApJS..228...22L,1 sigma,21.7 GHz,Broad-band measurement,03 19 48.14 +41 30 42.12 (J2000),Flux integrated from map,Obs. code = KVNCS1.3.2,From new raw data
521,16.1 GHz (AMI),14.93,,Jy,16100000000.0,14.9,,,,,,Jy,2009MNRAS.400..984D,no uncertainty reported,16.1 GHz,Broad-band measurement,03 19 47.1 +41 30 42 (J2000),Flux integrated from map,,From new raw data
522,15 GHz (VLBA),10.64,,Jy,15400000000.0,10.6,,,,,,Jy,2005AJ....130.1389L,no uncertainty reported,15.366   GHz,Broad-band measurement,03 19 48.1601 +41 30 42.1030 (J2000),Total flux,,From new raw data
523,15064 MHz,43.39,+/-2.17,Jy,15100000000.0,43.4,2.17,2.17,,,+/-2.17E+00,Jy,1978AJ.....83.1009O,uncertainty,15064   MHz,Broad-band measurement,031629.57 +411951.9 (B1950),Not reported in paper,From Kuhr catalog (1981A&AS...45..367K),Transformed from previously published data
524,15 GHz (VLBA),5.8,+/-0.29,Jy,15000000000.0,5.8,0.29,0.29,,,+/-2.90E-01,Jy,2014A&A...564A...5A,uncertainty,15 GHz,Broad-band measurement,,Flux integrated from map,Core flux. Obs. date: 2009-10-09,From new raw data
525,15 GHz (VLBA),5.59,+/-0.28,Jy,15000000000.0,5.59,0.28,0.28,,,+/-2.80E-01,Jy,2014A&A...564A...5A,uncertainty,15 GHz,Broad-band measurement,,Flux integrated from map,Core flux. Obs. date: 2010-11-20,From new raw data
526,15 GHz (VLBA),5.48,+/-0.27,Jy,15000000000.0,5.48,0.27,0.27,,,+/-2.70E-01,Jy,2014A&A...564A...5A,uncertainty,15 GHz,Broad-band measurement,,Flux integrated from map,Core flux. Obs. date: 2010-09-29,From new raw data
527,15 GHz (VLBA),5.84,+/-0.29,Jy,15000000000.0,5.84,0.29,0.29,,,+/-2.90E-01,Jy,2014A&A...564A...5A,uncertainty,15 GHz,Broad-band measurement,,Flux integrated from map,Core flux. Obs. date: 2010-08-06,From new raw data
528,15 GHz (OVRO),21.077,+/-0.184,Jy,15000000000.0,21.1,0.184,0.184,,,+/-1.84E-01,Jy,2014MNRAS.438.3058R,rms uncertainty,15 GHz,Broad-band measurement,,Flux integrated from map,,From new raw data
529,15 GHz (OVRO),19730.0,,milliJy,15000000000.0,19.7,,,,,,Jy,2011ApJ...741...30A,no uncertainty reported,15 GHz,Broad-band measurement,049.95067 +41.51170 (J2000),Flux integrated from map,1 year peak flux,From new raw data
530,15 GHz (VLBA),12.908,,Jy,15000000000.0,12.9,,,,,,Jy,2008ApJ...674..111C,no uncertainty reported,15 GHz,Broad-band measurement,,Total flux,,Averaged from previously published data
531,15 GHz (OVRO),18.646,+/-0.117,Jy,15000000000.0,18.7,0.117,0.117,,,+/-1.17E-01,Jy,2011ApJS..194...29R,1 sigma,15.0 GHz,Broad-band measurement,03 19 48.16 +41 30 42.1 (J2000),Flux integrated from map,,From new raw data
532,15 GHz (VLBA),10.59,,Jy,15000000000.0,10.6,,,,,,Jy,2004ApJ...609..539K,no uncertainty reported,15 GHz,Broad-band measurement,,Total flux,,From new raw data
533,15 GHz (VLBA),19.4,+/-5   %,Jy,15000000000.0,19.4,0.97,0.97,,,+/-9.70E-01,Jy,2011ApJ...742...27L,estimated error,15 GHz,Broad-band measurement,,Total flux,,From new raw data
534,15 GHz (OVRO),18.91,,Jy,15000000000.0,18.9,,,,,,Jy,2011ApJ...742...27L,no uncertainty reported,15 GHz,Broad-band measurement,,Flux integrated from map,,From reprocessed raw data
535,15 GHz (OVRO),18160.0,,milliJy,15000000000.0,18.2,,,,,,Jy,2011ApJ...741...30A,no uncertainty reported,15 GHz,Broad-band measurement,049.95067 +41.51170 (J2000),Flux integrated from map,1 year mean flux,From new raw data
536,15 GHz (VLBA),10.39,,Jy,15000000000.0,10.4,,,,,,Jy,2005AJ....130.2473K,no uncertainty reported,15.366   GHz,Broad-band measurement,03 19 48.1601 +41 30 42.1031 (J2000),Total flux,,From new raw data
537,15 GHz (VLBA),5.13,+/-0.26,Jy,15000000000.0,5.13,0.26,0.26,,,+/-2.60E-01,Jy,2014A&A...564A...5A,uncertainty,15 GHz,Broad-band measurement,,Flux integrated from map,Core flux. Obs. date: 2011-02-27,From new raw data
538,14900 MHz,49.36,+/-0.190,Jy,14900000000.0,49.4,0.19,0.19,,,+/-1.90E-01,Jy,1980MNRAS.190..903L,uncertainty,14900      MHz,Broad-band measurement,,Total flux,,Homogenized from previously published data
539,14900 MHz,49.36,+/-.19,Jy,14900000000.0,49.4,0.19,0.19,,,+/-1.90E-01,Jy,1976AJ.....81.1084G,uncertainty,14900   MHz,Broad-band measurement,031629.57 +411951.9 (B1950),Not reported in paper,From Kuhr catalog (1981A&AS...45..367K),Transformed from previously published data
